initial_payment,car,price,months_term,miles_per_annum
"£2,798.91 ex VAT",Audi A6 Estate 2.0 TDI Quattro S Line 5dr S Tronic [2018],£310.99,48,"5,000"
"£2,798.91 ex VAT",Volkswagen Tiguan Allspace Estate 2.0 TSI 4Motion SEL 5dr DSG [2018],£310.99,48,"5,000"
"£2,807.91 ex VAT",Audi A4 Saloon 2.0 TDI S Line 4dr S Tronic [Leather/Alc] [2018],£311.99,48,"5,000"
"£2,807.91 ex VAT",Volvo Xc40 Estate 2.0 T4 Inscription Pro 5dr AWD Geartronic [2019],£311.99,48,"5,000"
"£2,807.91 ex VAT",Mercedes-Benz Glc Estate GLC 250d 4Matic AMG Line 5dr 9G-Tronic [2018.5],£311.99,48,"8,000"
"£2,816.91 ex VAT",Volkswagen Sharan Mpv 2.0 TDI CR BlueMotion Tech 150 SE Nav 5dr DSG [2018],£312.99,48,"5,000"
"£2,825.91 ex VAT",Audi A4 Allroad Estate 2.0T FSI Quattro 5dr S Tronic [Leather] [2018],£313.99,48,"5,000"
"£2,843.91 ex VAT",Audi Q5 Suv 2.0T FSI Quattro Sport 5dr S Tronic [2018],£315.99,24,"5,000"
"£2,843.91 ex VAT",Audi A6 Estate 2.0 TFSI Quattro S Line 5dr S Tronic [2018],£315.99,48,"5,000"
"£2,843.91 ex VAT",Lexus Nx Estate 300h 2.5 Luxury 5dr CVT [Premium Nav] [2018],£315.99,48,"8,000"
"£2,852.91 ex VAT",Audi A4 Allroad Estate 2.0 TDI Quattro Sport 5dr S Tronic [Tech Pack] [2018],£316.99,24,"5,000"
"£2,852.91 ex VAT",Land Rover Range Rover Velar Estate 2.0 D180 S 5dr Auto [2019],£316.99,48,"5,000"
"£2,852.91 ex VAT",Mercedes-Benz E Class Coupe E300 AMG Line 2dr 9G-Tronic [2019],£316.99,48,"5,000"
"£2,852.91 ex VAT",Mitsubishi Shogun Suv 3.2 DI-DC [187] SG2 3dr Auto [2017],£316.99,48,"5,000"
"£2,870.91 ex VAT",Land Rover Range Rover Evoque Suv 2.0 TD4 SE Tech 5dr Auto [2019],£318.99,48,"5,000"
"£2,879.91 ex VAT",Volvo Xc90 Suv 2.0 T5 [250] Momentum 5dr AWD Gtron [2019],£319.99,36,"5,000"
"£2,879.91 ex VAT",Audi A4 Estate 2.0 TDI S Line 5dr [Leather/Alc] [2018],£319.99,48,"5,000"
"£2,888.91 ex VAT",BMW 5 Series Saloon 520d xDrive M Sport 4dr Auto [2018.75],£320.99,48,"5,000"
"£2,897.91 ex VAT",Land Rover Range Rover Velar Estate 2.0 P250 5dr Auto [2019],£321.99,48,"5,000"
"£2,906.91 ex VAT",BMW 6 Series Hatchback 630i SE 5dr Auto [2018.5],£322.99,24,"5,000"
