initial_payment,car,price,months_term,miles_per_annum
"£4,508.91 ex VAT",Audi Q7 Suv 3.0 TDI Quattro Black Edition 5dr Tip Auto [2018],£500.99,48,"5,000"
"£4,526.91 ex VAT",Jaguar I-pace Estate 90kWh EV400 HSE 5dr Auto [2019],£502.99,24,"5,000"
"£4,553.91 ex VAT",Land Rover Discovery Suv 2.0 SD4 HSE 5dr Auto [2019],£505.99,48,"5,000"
"£4,589.91 ex VAT",BMW 7 Series Saloon 730d M Sport 4dr Auto [2018.75],£509.99,48,"5,000"
"£4,679.91 ex VAT",Land Rover Range Rover Sport Suv 3.0 SDV6 HSE Dynamic 5dr Auto [2019],£519.99,48,"5,000"
"£4,796.91 ex VAT",Land Rover Range Rover Sport Suv 3.0 SDV6 HSE Dynamic 5dr Auto [7 seat] [2019],£532.99,48,"5,000"
"£4,805.91 ex VAT",Jaguar Xj Saloon 3.0d V6 Portfolio 4dr Auto [2019],£533.99,48,"5,000"
"£4,958.91 ex VAT",Audi A8 Saloon 55 TFSI Quattro 4dr Tiptronic [2018],£550.99,48,"5,000"
"£5,147.91 ex VAT",Audi Q7 Suv SQ7 Quattro Vorsprung 5dr Tip Auto [2018],£571.99,24,"5,000"
"£5,255.91 ex VAT",Mercedes-Benz Gle Coupe Suv GLE 43 4Matic Night Edition 5dr 9G-Tronic [2019],£583.99,48,"5,000"
"£5,696.91 ex VAT",Audi Q7 Suv 3.0 TDI Quattro Vorsprung 5dr Tip Auto [2018],£632.99,48,"5,000"
"£5,912.91 ex VAT",Audi Q7 Suv SQ7 Quattro 5dr Tip Auto [2018],£656.99,48,"5,000"
"£6,011.91 ex VAT",Land Rover Range Rover Sport Suv 3.0 SDV6 Autobiography Dynamic 5dr Auto [2019],£667.99,48,"5,000"
"£6,245.91 ex VAT",Hyundai Genesis Saloon 3.8 GDi V6 4dr DCT [2016],£693.99,48,"5,000"
"£6,326.91 ex VAT",Land Rover Range Rover Suv 3.0 SDV6 Vogue 4dr Auto ,£702.99,48,"5,000"
"£6,407.91 ex VAT",BMW I8 Coupe [374] 2dr Auto [2018.75],£711.99,48,"8,000"
"£6,947.91 ex VAT",Land Rover Range Rover Suv 4.4 SDV8 Vogue 4dr Auto [2019],£771.99,48,"5,000"
"£6,992.91 ex VAT",Porsche 911 Coupe 2dr [2018],£776.99,48,"5,000"
"£7,379.91 ex VAT",Porsche 911 Convertible 2dr [2018],£819.99,48,"5,000"
"£7,460.91 ex VAT",Land Rover Range Rover Sport Suv 5.0 V8 S/C 575 SVR 5dr Auto [2019],£828.99,36,"5,000"
"£7,577.91 ex VAT",BMW M5 Saloon M5 4dr DCT [2018.5],£841.99,48,"5,000"
"£7,595.91 ex VAT",Porsche 911 Coupe 2dr [2018],£843.99,48,"5,000"
"£7,820.91 ex VAT",Land Rover Range Rover Suv 4.4 SDV8 Vogue SE 4dr Auto [2019],£868.99,48,"5,000"
"£8,180.91 ex VAT",Lexus Lc Coupe 500h 3.5 Sport+ 2dr Auto [Mark Levinson] [2017],£908.99,48,"5,000"
"£9,044.91 ex VAT",Land Rover Range Rover Suv 4.4 SDV8 Autobiography 4dr Auto [2019],"£1,004.99",48,"5,000"
"£10,241.91 ex VAT",BMW I8 Convertible 2dr Auto [2018.75],"£1,137.99",48,"5,000"
